상권_코드_명,상권별_매출액_평균,상권별_매출건수_평균,프랜차이즈_점포_수,식료품_지출_총금액,교통_지출_총금액,점포_수,개업_점포_수,폐업_점포_수,시군구_명,시간대_아침점심_생활인구_수,시간대_오후저녁_생활인구_수,시간대_밤새벽_생활인구_수
광흥창역 6번,60410631.34848485,4906.242424242424,3,50645388.0,27237937.0,70,6,2,마포구,5911,5853,5450
대흥동주민센터,85038108.47916667,4005.3125,3,248993616.0,108249865.0,62,6,0,마포구,15417,10732,21408
대흥역 2번,267792687.1865672,17023.119402985074,34,258987289.0,137240942.0,313,29,7,마포구,33571,32281,35494
대흥역 3번,415639886.4090909,19352.84545454545,14,120284006.0,63991040.0,216,33,5,마포구,17246,18405,18075
동교초등학교,272057585.7980769,15118.365384615385,15,626358745.0,430425039.0,236,34,7,마포구,22637,20798,30177
마포FM,387009122.9848485,8994.0,3,205122084.0,137216905.0,120,13,0,마포구,15644,12104,19413
마포경찰서,285101993.03333336,9219.6,8,45248746.0,36666065.0,40,3,0,마포구,1781,1588,1910
마포구청역 1번,395565322.9452055,41290.82191780822,32,290004990.0,167312622.0,179,33,3,마포구,11777,8350,16271
마포구청역 4번,656693257.2027028,6811.7972972972975,10,382417522.0,250312469.0,147,16,2,마포구,16647,14940,18686
마포구청역 7번,213891799.21296296,15580.083333333334,22,725051186.0,521972427.0,261,33,5,마포구,38643,31614,52851
마포역 4번,720218505.2916666,9450.791666666666,2,178827373.0,139773536.0,56,4,0,마포구,6862,5317,9041
만리재,157525977.27272728,9093.757575757576,7,616006498.0,273132068.0,113,10,1,마포구,27201,24185,31032
망리단길,480550777.8447205,29460.378881987577,40,1750294531.0,1095711004.0,864,151,21,마포구,77801,71154,109006
망원나들목체육관,86253188.6969697,6684.181818181818,4,378829399.0,253469414.0,51,6,0,마포구,9256,6478,15035
망원역 1번,211394826.16455692,12866.87341772152,10,542996249.0,393983885.0,205,23,4,마포구,21317,20739,21285
상수역 3번,110012657.55,3597.9,1,108226037.0,71965780.0,50,8,0,마포구,2854,2865,3087
상수역 4번,327811281.56666666,20775.666666666668,3,429185568.0,251135564.0,143,14,2,마포구,9417,8448,12000
새터산,231048464.63414636,8321.487804878048,8,602241413.0,411440609.0,102,16,4,마포구,17689,14810,23455
서강대역 1번,303179771.3947368,27261.622807017546,24,306015942.0,181893559.0,282,33,5,마포구,27864,25170,29011
서강대학교,1558407473.5294118,13854.764705882351,4,17639230.0,9893803.0,42,7,1,마포구,929,916,599
서울서부지방법원,300801398.2992126,11348.28346456693,22,441150590.0,275163160.0,324,27,7,마포구,44181,36967,55151
성미산체육관,304277221.8,22675.05,12,355940636.0,278275658.0,158,12,1,마포구,11918,9135,11569
성산중학교,454463193.0740741,21031.185185185182,5,411339938.0,268894498.0,278,42,6,마포구,18308,17876,20046
성서초등학교,171565633.8292683,11058.792682926827,11,582359188.0,428340471.0,173,18,3,마포구,19897,16041,25324
