상권_코드_명,폐업_점포_수
신사1동주민센터,5
신사은행나무공원,1
신서초등학교,4
신설동역 12번,2
신설동역 9번,2
신성초등학교,5
신수동주민센터,1
신우어린이공원,0
신원동주민센터,4
신월1동우편취급국,5
신월1동주민센터,8
신월1파출소,3
신월2동주민센터,3
신월3동주민센터,7
신월4동주민센터,4
신월7동주민센터,4
신월문화체육센터,5
신월시영아파트중문,2
신월중학교,4
신자초등학교,2
신정2동주민센터,6
신정네거리역 2번,1
신정네거리역 4번,2
신정롯데캐슬아파트,5
신정역 1번,3
신정역 5번,5
신중초등학교,1
신진과학기술고등학교,2
신창초등학교,7
신촌역 6번,0
신풍역 1번,4
신풍역 2번,1
신풍역 3번,0
신풍역 6번(신길6동공영주차장),0
신한은행 방학동지점,3
신한은행 신월동지점,4
싸리고개근린공원,0
쌍문2동우체국,4
쌍문역1번(쌍리단길),3
쌍문초등학교,4
아래방죽마을공원(율현초등학교),0
아차산역 1번,4
아차산역 5번,1
아카데미하우스,1
아현역 1번,1
아현역 2번,1
아현역 4번,1
안암역 2번,2
안암역 3번,8
암사동성당(효정하나플러스아파트),6
암사역 1번,7
암사역 2번(서울강동초등학교),12
암사역 3번(천호동자전거거리),8
암사역 4번(삼성광나루아파트),0
애오개역 3번,0
약수역 7번,1
양목초등학교,1
양원초등학교,1
양재근린공원(양재2동주민센터),0
양재역 8번(양재동우체국),9
양지어린이공원,2
양천향교역 2번,2
양천향교역 5번,8
양천향교역 7번,8
양평역 2번,3
양화대교북단,1
양화초등학교,2
어린이대공원역 3번,1
어린이대공원역 4번,1
언남고등학교,0
언북중학교,3
언북초등학교,3
언주역 3번,4
언주역 6번,4
언주역 8번,0
언주중학교,0
역삼역 4번,5
역삼역 8번,3
역삼월드메르디앙아파트,1
역촌노인복지관,6
역촌역 2번,1
역촌역 3번,3
연가초등학교,0
연산군묘,0
연신내역 2번,2
연신내역 3번,1
연신내역 4번,5
연신내역 5번,5
연신내역 7번,5
연신내우체국,1
연신초등학교,1
연천초등학교,2
연트럴파크(연남동주민센터),5
연희대우아파트앞,4
연희세브란스병원,1
연희어린이공원,1
연희임광아파트,1
연희지하차도,1
연희초등학교,2
연희파출소,0
열정도,2
염곡동 구룡사(포이동성당),4
염리초등학교,0
염창무학아파트,1
염창역 2번,1
영동대교남단,0
영동초등학교,2
영등포구청역 2번,4
영등포구청역 6번,4
영등포동성당,0
영등포본동주민센터,0
영등포시장역 1번,1
영등포시장역 3번,0
영등포시장역 4번,1
영등포역 2번,5
영등포푸르지오아파트,2
영락고등학교,4
영서중학교,0
영신여고,4
영신초등학교,5
영천시장입구,0
예술인마을,0
예일여고,3
오거리공원,9
오금공원(오주중학교),2
오금역 4번,2
오동나무공원(송파레미니스1단지),2
오류2동버들시장,10
오류고등학교,1
오류동역 1번,1
오류동역 3번,2
오류동역 4번,1
오류지구대,2
오산고등학교,2
오산중학교,0
옥수동우편취급국,0
옥수역 6번,3
옥수터널,0
옥정중학교,1
온수역 1번,1
온수역 5번(온수산업단지),1
온수역 8번,1
왕십리역 9번,3
왕십리파출소,1
외대앞역 1번,8
외대앞역 2번,1
용강동주민센터,2
용두동신동아아파트,4
용두사거리,0
용두초등학교,0
용두희망어린이공원,2
용마문화복지센터,1
용마초등학교,4
용산구청,3
용산세무서,0
우리은행응암동지점,2
우리은행체육관,2
우면주공아파트,4
우사단길,5
우이천 계성교,3
우장산롯데캐슬아파트앞,3
우장산역 1번,4
우장산역 4번,10
우장산힐스테이트,2
원신초등학교(구세군관악영문교회),5
월계역 3번,0
월곡역 4번,0
월드순복음교회,1
윗방죽마을공원,2
유엔빌리지길,0
은곡마을(은곡마을공원),5
은광여고,0
은천초등학교(은천교앞),6
은평구청,4
은평세무서,6
은평요양병원,5
응봉산,0
응암1동주민센터,2
응암3동주민센터,2
응암동우체국,6
응암역 2번,2
응암역 3번,13
응암정보도서관,10
의릉,0
이대역 5번,2
이북5도청사,0
이수역 10번,5
이수역 5번,3
이수역 9번,2
이촌동점보아파트,2
이태원엔틱가구거리,3
이태원역 북측,1
이화달팽이길,1
인수동 우편취급국,4
인수중학교,1
인수초등학교,0
인헌고등학교(인헌중학교),2
자동차부품상가,3
자양4동주민센터,5
자양동우체국,6
자양한강도서관,5
자하문터널,0
잠실나루역,3
잠원역,2
장곡초등학교,2
장로회신학대학교,2
장석교회,0
장스여성병원,3
장승배기역 4번,5
장승배기역 5번,3
장안1동주민센터,17
장안교,0
장안근린공원,5
장안제일시장,4
장안중학교,3
장안초등학교,1
장안현대홈타운1차아파트,5
장위1동주민센터,1
장위동성당,0
장지동주민센터(한림연예예술고교),3
장충단 고개,2
장충동주민센터,1
장충초등학교,2
장평중학교,5
장훈고등학교,1
전곡마을마당공원,2
전농119안전센터,1
전농1동주민센터(전농시장),0
전농중학교,2
절두산순교성지,2
정곡초등학교,0
정독도서관,0
정릉3동주민센터,0
정릉북한산국립공원입구,1
